player_id,wc_overall,position,is_captain,award
ARG_1966_roma,78,GK,false,
ARG_1966_gatti,75,GK,false,
ARG_1966_irusta,61,GK,false,
ARG_1966_simeone,78,DEF,false,
ARG_1966_ferreiro,77,DEF,false,
ARG_1966_marzolini,76,DEF,false,
ARG_1966_perfumo,60,DEF,false,
ARG_1966_lopez,60,DEF,false,
ARG_1966_pastoriza,80,MID,false,
ARG_1966_sarnari,79,MID,false,
ARG_1966_rattin,78,MID,true,
ARG_1966_solari,78,MID,false,
ARG_1966_albrecht,61,MID,false,
ARG_1966_varacka,59,MID,false,
ARG_1966_calics,59,MID,false,
ARG_1966_artime,85,FWD,false,
ARG_1966_gonzalez,79,FWD,false,
ARG_1966_onega,77,FWD,false,
ARG_1966_rojas,77,FWD,false,
ARG_1966_tarabini,76,FWD,false,
ARG_1966_mas,74,FWD,false,
ARG_1966_chaldu,59,FWD,false,
BRA_1966_gilmar,72,GK,false,
BRA_1966_manga,67,GK,false,
BRA_1966_orlando,75,DEF,false,
BRA_1966_bellini,71,DEF,true,
BRA_1966_santos,70,DEF,false,
BRA_1966_henrique,70,DEF,false,
BRA_1966_rildo,70,DEF,false,
BRA_1966_brito,68,DEF,false,
BRA_1966_altair,56,DEF,false,
BRA_1966_fidelis,54,DEF,false,
BRA_1966_jairzinho,79,MID,false,
BRA_1966_zito,74,MID,false,
BRA_1966_gerson,73,MID,false,
BRA_1966_lima,72,MID,false,
BRA_1966_tostao,68,MID,false,
BRA_1966_denilson,63,MID,false,
BRA_1966_garrincha,95,FWD,false,
BRA_1966_pele,88,FWD,false,
BRA_1966_parana,72,FWD,false,
BRA_1966_silva,72,FWD,false,
BRA_1966_edu,66,FWD,false,
BRA_1966_alcindo,53,FWD,false,
BUL_1966_naydenov,59,GK,false,
BUL_1966_deyanov,54,GK,false,
BUL_1966_simeonov,53,GK,false,
BUL_1966_gaganelov,60,DEF,true,
BUL_1966_vutsov,59,DEF,false,
BUL_1966_largov,57,DEF,false,
BUL_1966_shalamanov,56,DEF,false,
BUL_1966_zhechev,55,DEF,false,
BUL_1966_apostolov,55,DEF,false,
BUL_1966_penev,52,DEF,false,
BUL_1966_kitov,59,MID,false,
BUL_1966_davidov,56,MID,false,
BUL_1966_yanchovski,55,MID,false,
BUL_1966_dermendzhiev,55,MID,false,
BUL_1966_metodiev,52,MID,false,
BUL_1966_asparuhov,79,FWD,false,
BUL_1966_abadzhiev,58,FWD,false,
BUL_1966_kostov,57,FWD,false,
BUL_1966_yakimov,56,FWD,false,
BUL_1966_kotkov,56,FWD,false,
BUL_1966_kolev,54,FWD,false,
BUL_1966_zhekov,53,FWD,false,
CHI_1966_godoy,66,GK,false,
CHI_1966_olivares,54,GK,false,
CHI_1966_figueroa,78,DEF,false,
CHI_1966_eyzaguirre,72,DEF,false,
CHI_1966_villanueva,67,DEF,false,
CHI_1966_donoso,67,DEF,false,
CHI_1966_valentini,66,DEF,false,
CHI_1966_berly,54,DEF,false,
CHI_1966_marcos,71,MID,false,
CHI_1966_sanchez,71,MID,true,
CHI_1966_tobar,70,MID,false,
CHI_1966_ramirez,67,MID,false,
CHI_1966_cruz,66,MID,false,
CHI_1966_hodge,65,MID,false,
CHI_1966_prieto,64,MID,false,
CHI_1966_campos,63,MID,false,
CHI_1966_fouilloux,71,FWD,false,
CHI_1966_araya,67,FWD,false,
CHI_1966_yavar,65,FWD,false,
CHI_1966_valdes,64,FWD,false,
CHI_1966_ramirez_2,64,FWD,false,
CHI_1966_landa,58,FWD,false,
ENG_1966_banks,91,GK,false,
ENG_1966_bonetti,80,GK,false,
