show_id,show_date,year,venue,city,state,set,position,song,song_id,is_cover,original_artist,length_sec,show_gap,times_played,rarity_rating,crowd_rating,is_jamchart,transition,is_segue,tags
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,1,1,Dial Tone,sample-dial-tone,false,,419,0,1,0,,false,",",false,opener
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,1,2,Static in the Wire,sample-static,false,,409,0,1,0,,false,",",false,
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,1,3,November Letters,sample-november,false,,314,0,1,0,,false,",",false,
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,1,4,Blue Hour,sample-blue-hour,false,,395,0,1,0,,false,",",false,
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,1,5,Last Call,sample-last-call,false,,704,0,1,0,,false,,false,closer
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,2,1,First Light,sample-first-light,false,,542,0,1,0,,false,",",false,opener
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,2,2,Undertow,sample-undertow,false,,1373,0,1,0,,false,>,true,jam|peak
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,2,3,Slow Tide,sample-slow-tide,false,,213,0,1,0,,false,>,true,ballad
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,2,4,Freight and Salvage,sample-freight,false,,924,0,1,0,,false,",",false,opener|jam
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,2,5,Tall Grass,sample-tall-grass,false,,754,0,1,0,,false,,false,closer
sample-001,2024-05-03,2024,The Fillmore,San Francisco,CA,E,1,One More Round,sample-one-more,false,,417,0,1,0,,false,,false,encore
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,1,1,Radio Hymn,sample-radio-hymn,false,,396,0,1,0,,false,",",false,opener
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,1,2,Crosstown,sample-crosstown,false,,587,0,1,0,,false,>,true,
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,1,3,Slow Tide,sample-slow-tide,false,,192,0,2,0,,false,",",false,ballad
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,1,4,Static in the Wire,sample-static,false,,540,0,2,0,,false,",",false,
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,1,5,Last Call,sample-last-call,false,,762,0,2,0,,false,,false,closer
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,2,1,Dial Tone,sample-dial-tone,false,,510,0,2,0,,false,",",false,opener
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,2,2,The Long Way Down,sample-long-way,false,,1057,0,1,0,,false,",",false,jam|peak
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,2,3,November Letters,sample-november,false,,273,0,2,0,,false,>,true,
sample-002,2024-05-09,2024,Red Rocks Amphitheatre,Morrison,CO,2,4,Blue Hour,sample-blue-hour,false,,521,0,2,0,,false,>,true,
